dialog_speaker_list,dialog_text_list,h,entailment,idx
"[""A""]","[""Dole gave 12 hours of formal interviews and lots more time informally, in part because, as his press secretary Nelson Warfield told me last week, he likes Woodward personally.""]",12 hours of interviews were given by Dole.,TRUE,42184
"[""A""]","[""I daren't.""]",I don't dare. ,TRUE,87246
"[""A""]","[""But how had anyone gained admission? ""]",How did anyone get in?,TRUE,82392
"[""A""]","[""Rather than defend religious dogma, they poke holes in evolutionary dogma, scrutinizing the theory's missing links and the mathematical probability of the emergence of complex life.""]",They poke at perceived flaws in evolutionary theory instead of defending religious dogma.,TRUE,371483
"[""A""]","[""because see that's where it's coming from to me it it's coming in here some kind of way i don't care what anybody tells me people tell me i said if the government really want to i think it's all government something to do with the government i really do""]","that's where it's coming from, I don't care what anybody tells me, people have told me I said I think it's something to do with the government. ",TRUE,303172
"[""A""]","[""Nat Hentoff, civil liberties columnist for the Village Voice, called the network a ''seminal force for justice, equal and practical.""]",Nat Hentoff dislikes the network and Village Voice.,FALSE,161465
"[""A""]","[""Province Wellesley merely acted as a mainland buffer for Penang, and Melaka similarly turned its back on affairs in the hinterland.""]","Province Wellesley only acted as a buffer for Penang, Melaka similarly turned its back on the affairs of the hinterland.",TRUE,174883
"[""A""]","[""Oh! said Tuppence, rather taken aback.""]",It had been exactly what Tuppence had expected.,FALSE,328444
"[""A""]","[""History makes it clear that children and teen-agers are no strangers to violent impulses.""]",History shows that children and teenagers are capable of violent impulses.,TRUE,191866
"[""A""]","[""The proposal in the Postal Service's petition would have established Negotiated Service Agreements as a new form of mail classification, with individual agreements to be reviewed by the Commission within 60 days.""]",The Postal Service's petition makes a new mail classification.,TRUE,271643
"[""A""]","[""This new museum was built as an annex to the existing Royal Museum, a beautiful Victorian edifice with a large glass roof much like a glass house.""]",The existing Royal Museum had a thatched roof.,FALSE,271347
"[""A""]","[""The fact that I'd not thought of myself as Jane Finn for so long made it easier.""]",I didn't associate myself with Jane Finn and it made my life less complicated.,TRUE,98546
"[""A""]","[""um i'm north of Pittsburgh so""]",I live to the north of Pittsburgh.,TRUE,1315
"[""A""]","[""Apparently Mrs. Vandemeyer slept.""]",It was obvious that Mrs. Vandemeyer had stayed awake all night. ,FALSE,319117
