index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	gold_label
591329	2450348263	xnxod0	dialogue	()	()	()	()	i like smooth jazz , you ? i was raised country but i listen to all genres	cool . i'm an elementary teacher , what do you do ?	entailment	entailment
702010	6899052351	bqgyz0	dialogue	()	()	()	()	i am kind of sad cause i got rejected from the gifted program do you like reading books ? i love novels written by female authors .	i'm only seven so i'm just learning to read .	entailment	entailment
624292	7588453955	ekgmqP4	dialogue	()	()	()	()	that's so funny because my dad is superman ! i'd have loved to have met him when i was a kid	i worry about my upcoming marriage and hope it will be a success . you ?	neutral	neutral
591262	7426848141	hzppm0	dialogue	()	()	()	()	oh what do you blog about ? i've got book club this evening , its my favorite weekly tradition ! i like to blog about aquariums	that's cool . i imagine that takes you to all sorts of interesting places .	entailment	entailment
145945	1488306517	owvdhP4	dialogue	()	()	()	()	good morning how are you ? i'm well . how are you ?	that is pretty awesome , weird , but awesome .	neutral	neutral
31365	8820303435	bnotbP1	dialogue	()	()	()	()	i do physical labor as well at a concert venue that sounds cool . i love concerts . what kind of music ?	hi how is your day going so far	neutral	neutral
605693	60304	60304c	government	()	()	()	()	section 601(3 ) of title 5 , united states code , provides that the term small business generally has the same meaning as the term ' small business concern ' under section 3 of the small business act .	small business and small business concern generally do n't have the same meaning under section 3 of the small business act .	contradiction	contradiction
811297	1391589661	hkgie0	dialogue	()	()	()	()	do you perform professionally ? did you go to school for it ? no it just comes naturally . i lie very bad and people think i am crazy	well , as long as they keep laughing and keep coming , you are good .	entailment	entailment
648438	93913	93913c	slate	()	()	()	()	his intentions are   corporations should n't discriminate in hiring , hmos should n't deny care to patients who need it .	his intentions are to encourage discrimination in the hiring processes .	contradiction	contradiction
548599	9883322921	hwfsrD2	dialogue	()	()	()	()	i am getting ready to head to college . how long have you been studying ? seems like a lifetime ! trying to be a nurse .	i don't know what you mean by that .	neutral	neutral
